date,hi,lo,nhi,nlo,rhi,rlo
1/1/2015,37,18,37,23,67,-6
1/2/2015,38,24,37,23,64,-13
1/3/2015,59,29,37,23,64,-20
1/4/2015,58,27,37,23,67,-10
1/5/2015,27,12,36,23,65,-16
1/6/2015,21,12,36,23,68,-20
1/7/2015,13,2,36,23,68,-7
1/8/2015,20,-6,36,23,68,-9
1/9/2015,22,4,36,23,62,-5
1/10/2015,18,-2,36,23,59,-11
1/11/2015,33,18,36,23,66,-11
1/12/2015,34,24,36,23,67,-13
1/13/2015,25,15,36,22,69,-14
1/14/2015,22,9,36,22,70,-14
1/15/2015,34,15,36,22,64,-12
1/16/2015,36,23,36,22,60,-13
1/17/2015,49,25,36,22,62,-19
1/18/2015,46,34,36,22,68,-17
1/19/2015,43,25,36,22,67,-22
1/20/2015,46,32,36,22,68,-19
1/21/2015,41,34,36,22,72,-16
1/22/2015,35,30,37,22,71,-16
1/23/2015,34,29,37,22,68,-15
1/24/2015,37,26,37,22,66,-15
1/25/2015,37,27,37,22,74,-15
1/26/2015,27,11,37,23,70,-9
1/27/2015,24,7,37,23,68,-8
1/28/2015,26,6,37,23,66,-15
1/29/2015,41,25,37,23,67,-13
1/30/2015,32,14,37,23,65,-5
1/31/2015,34,12,37,23,66,-6
2/1/2015,41,31,38,23,66,-3
2/2/2015,41,14,38,23,64,-13
2/3/2015,31,14,38,23,63,-10
2/4/2015,42,24,38,23,66,-9
2/5/2015,24,9,38,23,64,-10
2/6/2015,29,8,38,23,62,-11
2/7/2015,50,28,39,24,61,-2
2/8/2015,56,41,39,24,72,-13
2/9/2015,46,21,39,24,66,-17
2/10/2015,32,20,39,24,69,-20
2/11/2015,38,19,39,24,74,-11
2/12/2015,32,8,40,24,69,-8
2/13/2015,26,4,40,25,68,-13
2/14/2015,30,6,40,25,68,-8
2/15/2015,8,0,41,25,70,-4
2/16/2015,10,0,41,25,72,-5
2/17/2015,19,-4,41,25,67,-7
2/18/2015,18,4,41,26,63,-7
2/19/2015,8,-3,42,26,70,-6
2/20/2015,14,-8,42,26,68,-9
2/21/2015,33,14,42,26,71,-8
2/22/2015,31,15,43,26,70,-8
2/23/2015,19,-3,43,27,66,-4
2/24/2015,24,-11,43,27,72,-11
2/25/2015,33,17,44,27,74,-7
2/26/2015,22,9,44,27,75,-10
2/27/2015,18,4,44,28,71,-11
2/28/2015,25,0,45,28,65,0
3/1/2015,33,22,45,28,65,-2
3/2/2015,31,17,45,28,73,0
3/3/2015,42,20,46,29,75,1
3/4/2015,38,23,46,29,78,1
3/5/2015,23,8,47,29,78,1
3/6/2015,23,4,47,30,76,2
3/7/2015,42,16,47,30,77,4
3/8/2015,44,27,48,30,80,-2
3/9/2015,53,28,48,31,77,-6
3/10/2015,47,35,49,31,79,2
3/11/2015,54,33,49,31,76,8
3/12/2015,53,27,49,31,75,1
3/13/2015,56,42,50,32,78,5
3/14/2015,59,37,50,32,78,8
3/15/2015,55,33,51,32,79,4
3/16/2015,69,43,51,33,79,4
3/17/2015,61,32,52,33,75,0
3/18/2015,48,25,52,33,77,9
3/19/2015,52,36,52,34,78,8
3/20/2015,47,36,53,34,84,1
3/21/2015,63,40,53,34,85,8
3/22/2015,48,30,54,35,85,6
3/23/2015,36,26,54,35,81,9
3/24/2015,49,26,55,35,84,11
3/25/2015,66,41,55,36,84,5
3/26/2015,47,36,55,36,80,13
3/27/2015,36,22,56,36,81,15
3/28/2015,33,17,56,37,83,15
3/29/2015,47,18,57,37,83,14
3/30/2015,57,37,57,37,82,16
3/31/2015,65,33,58,38,83,9
4/1/2015,63,29,58,38,81,15
4/2/2015,63,46,58,38,84,20
4/3/2015,62,42,59,39,80,18
4/4/2015,51,32,59,39,82,24
4/5/2015,62,36,60,39,82,15
4/6/2015,65,38,60,40,84,19
4/7/2015,65,53,60,40,85,14
4/8/2015,67,54,61,40,83,19
4/9/2015,74,56,61,41,83,18
4/10/2015,70,50,62,41,84,20
4/11/2015,59,39,62,41,88,23
4/12/2015,69,37,62,42,86,21
4/13/2015,79,51,63,42,86,21
4/14/2015,61,48,63,42,86,20
4/15/2015,69,46,64,43,84,22
4/16/2015,62,52,64,43,86,22
4/17/2015,74,55,64,43,88,25
4/18/2015,79,46,65,43,89,22
4/19/2015,73,57,65,44,85,21
4/20/2015,65,46,65,44,85,22
4/21/2015,61,42,66,44,86,22
4/22/2015,52,37,66,45,87,27
4/23/2015,50,34,66,45,88,23
4/24/2015,58,28,67,45,88,28
4/25/2015,51,42,67,46,90,25
4/26/2015,60,39,67,46,89,26
4/27/2015,54,37,68,46,88,28
4/28/2015,63,34,68,47,85,28
4/29/2015,68,37,68,47,86,28
4/30/2015,57,45,68,47,89,30
5/1/2015,71,46,69,48,88,30
5/2/2015,74,42,69,48,88,30
5/3/2015,77,47,69,48,89,30
5/4/2015,81,52,70,49,89,31
5/5/2015,81,61,70,49,92,32
5/6/2015,85,56,70,49,91,29
5/7/2015,88,60,70,49,88,31
5/8/2015,87,60,71,50,89,31
5/9/2015,87,62,71,50,93,30
5/10/2015,84,64,71,50,94,25
5/11/2015,86,64,72,51,92,33
5/12/2015,67,52,72,51,90,35
5/13/2015,64,45,72,51,88,34
5/14/2015,65,40,72,52,91,34
5/15/2015,81,59,73,52,92,36
5/16/2015,76,66,73,52,91,32
5/17/2015,83,66,73,53,92,34
5/18/2015,79,68,73,53,93,34
5/19/2015,68,51,74,53,92,34
5/20/2015,60,43,74,53,91,36
5/21/2015,59,47,74,54,92,34
5/22/2015,73,41,75,54,93,33
5/23/2015,77,44,75,54,90,34
5/24/2015,83,50,75,55,90,36
5/25/2015,83,65,75,55,93,33
5/26/2015,86,66,76,55,94,37
5/27/2015,82,65,76,56,94,34
5/28/2015,83,62,76,56,94,36
5/29/2015,84,67,77,56,94,38
5/30/2015,85,68,77,57,95,36
5/31/2015,75,50,77,57,96,38
6/1/2015,56,49,78,57,96,41
6/2/2015,66,52,78,58,96,39
6/3/2015,73,59,78,58,99,41
6/4/2015,81,60,79,58,97,41
6/5/2015,86,62,79,59,95,39
6/6/2015,79,61,79,59,95,43
6/7/2015,85,56,79,59,95,39
6/8/2015,79,61,80,60,98,40
6/9/2015,76,57,80,60,95,39
6/10/2015,91,58,80,60,98,41
6/11/2015,92,67,81,61,95,35
6/12/2015,93,70,81,61,94,43
6/13/2015,90,69,81,61,95,46
6/14/2015,91,69,82,61,94,44
6/15/2015,87,71,82,62,96,47
6/16/2015,83,71,82,62,96,43
