state,st,lm_rural,lm_urban,lm_tot,pop,area
Alabama,AL,2401,2157,4558,4846411,52420
Alaska,AK,2015,178,2193,737046,665384
Arizona,AZ,3739,1444,5182,6728783,113990
Arkansas,AR,1638,1342,2980,2966835,53179
California,CA,5480,9727,15208,38792291,163695
Colorado,CO,2628,1512,4141,5355588,104094
Connecticut,CT,150,1718,1868,3594762,5543
Delaware,DE,0,256,256,935968,2489
Dist. of Columbia,DC,0,77,77,659836,68
Florida,FL,3313,4775,8088,19905569,65758
Georgia,GA,2560,4422,6982,10097132,59425
Hawaii,HI,0,334,334,1420257,10932
Idaho,ID,2085,445,2531,1634806,83569
Illinois,IL,5035,4862,9896,12882189,57914
Indiana,IN,2977,2350,5327,6597880,36420
Iowa,IA,2444,834,3278,3109481,56273
Kansas,KS,2609,1095,3705,2902507,82278
Kentucky,KY,2758,1195,3952,4412617,40408
Louisiana,LA,2201,1701,3903,4648990,52378
Maine,ME,1275,278,1552,1330256,35380
Maryland,MD,675,2161,2835,5975346,12406
Massachusetts,MA,277,2925,3203,6755124,10554
Michigan,MI,2373,3668,6040,9916306,96714
Minnesota,MN,2385,1645,4031,5457125,86936
Mississippi,MS,1893,1027,2920,2993443,48432
Missouri,MO,3390,2920,6309,6063827,69707
Montana,MT,4377,391,4769,1023252,147040
Nebraska ,NE,1727,363,2090,1882980,77348
Nevada,NV,1840,786,2626,2838281,110572
New Hampshire,NH,567,432,998,1327996,9349
New Jersey,NJ,280,2693,2972,8938844,8723
New Mexico,NM,3431,747,4178,2085567,121590
New York,NY,3264,4743,8007,19748858,54555
North Carolina,NC,2255,3736,5991,9940387,53819
North Dakota,ND,2045,252,2297,740040,70698
Ohio,OH,2982,5196,8178,11596998,44826
Oklahoma,OK,2596,1386,3982,3879610,69899
Oregon,OR,2021,1108,3129,3971202,98379
Pennsylvania,PA,4552,3333,7885,12793767,46054
Rhode Island,RI,71,312,384,1054907,1545
South Carolina,SC,2226,1573,3799,4829160,32020
South Dakota,SD,2364,351,2715,853304,77116
Tennessee,TN,2542,2623,5165,6547779,42144
Texas,TX,8149,8227,16376,26979078,268596
Utah,UT,2772,1611,4383,2944498,84897
Vermont,VT,1012,247,1258,626767,9616
Virginia,VA,2702,2740,5443,8328098,42775
Washington,WA,1903,2105,4008,7063166,71298
West Virginia,WV,1541,823,2364,1848751,24230
Wisconsin,WI,1941,1287,3229,5759432,65496
Wyoming,WY,3229,426,3655,584304,97813
